training_sample_size,sampling_seed,candidate_rank,state_id,visited_count,support_fraction,minimum_support_used,minimum_support_fraction_used,logistic_regression_coefficient,positive_logistic_score,random_forest_importance,empirical_target_probability_if_visited,empirical_target_probability_if_not_visited,empirical_probability_difference,support_weight,combined_ranking_score
2500,789,7,68,171,0.0684,13,0.0052,0.17315114136487955,0.23434532902061983,0.015454798813746881,0.3216374269005848,0.2812365822241305,0.04040084467645427,0.9293478260869565,0.22335640064314613
2500,789,8,55,202,0.0808,13,0.0052,0.03971042277312089,0.0537446765696138,0.017925074092832127,0.33663366336633666,0.2793733681462141,0.05726029522012255,0.9395348837209302,0.21147287094913267
2500,789,9,48,1942,0.7768,13,0.0052,0.22626721889576346,0.30623341804585613,0.016572991094732238,0.2780638516992791,0.3046594982078853,-0.026595646508606186,0.9933503836317136,0.19552245020897918
2500,789,10,98,80,0.032,13,0.0052,0.26280895746097854,0.3556895502985756,0.009331908162526232,0.3125,0.2830578512396694,0.029442148760330578,0.8602150537634409,0.19418780451123277
2500,789,11,49,203,0.0812,13,0.0052,-0.15582091742741944,0.0,0.017764156518724716,0.33497536945812806,0.27949499346974316,0.0554803759883849,0.9398148148148148,0.19077632970689132
2500,789,12,67,342,0.1368,13,0.0052,0.05819772345962233,0.07876566417576342,0.026304959763361092,0.29239766081871343,0.28266913809082483,0.0097285227278886,0.9633802816901409,0.187315335339979
2500,789,13,74,342,0.1368,13,0.0052,0.05819772345962233,0.07876566417576342,0.026122463234384826,0.29239766081871343,0.28266913809082483,0.0097285227278886,0.9633802816901409,0.18631014869199772
2500,789,14,82,33,0.0132,13,0.0052,0.04775680312597776,0.06463476736746608,0.013169104199980089,0.36363636363636365,0.28293473854884477,0.08070162508751888,0.717391304347826,0.1753137042151938
2500,789,15,19,327,0.1308,13,0.0052,0.03165562816606508,0.042843197795031075,0.012041916933962457,0.3302752293577982,0.27703635526921305,0.05323887408858513,0.961764705882353,0.1735606844852544
2500,789,16,89,33,0.0132,13,0.0052,0.04775680312597776,0.06463476736746608,0.012339666051023832,0.36363636363636365,0.28293473854884477,0.08070162508751888,0.717391304347826,0.17191170300361527
