rank,state_id,logistic_regression_coefficient,absolute_logistic_regression_coefficient,random_forest_feature_importance,total_retained_trace_count,visited_trace_count,target_traces_when_visited,success_traces_when_visited,target_probability_when_visited,target_probability_when_not_visited,probability_difference,probability_ratio,support_fraction,normalized_positive_logistic_coefficient,normalized_random_forest_importance,normalized_positive_probability_difference,support_reliability_weight,combined_ranking_score
66,59,-0.16047518618392492,0.16047518618392492,0.009331855742250901,9723,7525,2414,5111,0.320797342192691,0.33575978161965425,-0.014962439426963237,0.9554370706497761,0.7739380849532037,0.0,0.13585793090067408,0.0,0.9933993399339934,0.044987059627175904
67,35,0.01890836132723907,0.01890836132723907,0.00648399025304508,9723,8353,2695,5658,0.322638572967796,0.33357664233576645,-0.010938069367970427,0.9672097264023644,0.8590969865267921,0.037967497903213084,0.0943972478882709,0.0,0.9940497441389979,0.04385904722901606
68,45,-0.06484074612683574,0.06484074612683574,0.004495378712165845,9723,224,77,147,0.34375,0.32371828613538267,0.02003171386461733,1.061880081300813,0.023038156947444204,0.0,0.06544602352612837,0.0912326300947009,0.8175182481751825,0.04269588614484886
69,91,-0.19658527576989923,0.19658527576989923,0.004045025148380566,9723,298,102,196,0.3422818791946309,0.32360742705570295,0.018674452138927933,1.0577071184948839,0.030648976653296307,0.0,0.05888954590371982,0.08505110425031297,0.8563218390804598,0.04108650741944614
70,94,0.002281859831864185,0.002281859831864185,0.008567938793936436,9723,753,237,516,0.3147410358565737,0.3249721293199554,-0.01023109346338169,0.9685170125672269,0.07744523295279235,0.004581915211072389,0.124736437079454,0.0,0.937733499377335,0.04042205034236878
71,54,-0.16047518618392492,0.16047518618392492,0.008377808527822715,9723,7525,2414,5111,0.320797342192691,0.33575978161965425,-0.014962439426963237,0.9554370706497761,0.7739380849532037,0.0,0.12196842337786476,0.0,0.9933993399339934,0.040387783758786905
72,37,-0.06484074612683574,0.06484074612683574,0.003834542429757128,9723,224,77,147,0.34375,0.32371828613538267,0.02003171386461733,1.061880081300813,0.023038156947444204,0.0,0.05582523078437448,0.0912326300947009,0.8175182481751825,0.0400741616020838
73,32,-0.06484074612683574,0.06484074612683574,0.0034291910887124704,9723,224,77,147,0.34375,0.32371828613538267,0.02003171386461733,1.061880081300813,0.023038156947444204,0.0,0.049923918547752036,0.0912326300947009,0.8175182481751825,0.03846601812154435
74,80,-0.2540191983154662,0.2540191983154662,0.007594252414116588,9723,6501,2041,4460,0.3139516997385018,0.34481688392302917,-0.030865184184527383,0.9104881877204796,0.6686207960506017,0.0,0.11056101253773419,0.0,0.9923675774690887,0.03657238805820027
75,29,0.01890836132723907,0.01890836132723907,0.004818469431333474,9723,8353,2695,5658,0.322638572967796,0.33357664233576645,-0.010938069367970427,0.9672097264023644,0.8590969865267921,0.037967497903213084,0.07014974353763566,0.0,0.9940497441389979,0.03582463873042999
76,81,-0.14425130269733544,0.14425130269733544,0.0073431560978153955,9723,959,312,647,0.32533889468196037,0.32405294386125055,0.0012859508207098136,1.0039683355608102,0.09863210943124551,0.0,0.10690542388187775,0.005856746773576014,0.9504459861248761,0.035724784162068104
77,42,0.01890836132723907,0.01890836132723907,0.004754509763978805,9723,8353,2695,5658,0.322638572967796,0.33357664233576645,-0.010938069367970427,0.9672097264023644,0.8590969865267921,0.037967497903213084,0.06921858597284837,0.0,0.9940497441389979,0.03551609975075336
78,23,-0.022155546752642415,0.022155546752642415,0.006382032543939096,9723,688,225,463,0.32703488372093026,0.3239623685666851,0.00307251515424517,1.009484173016264,0.07076005348143577,0.0,0.09291289538849999,0.01399349253998379,0.9322493224932249,0.033221135905508965
79,31,-0.022155546752642415,0.022155546752642415,0.006157385455923581,9723,688,225,463,0.32703488372093026,0.3239623685666851,0.00307251515424517,1.009484173016264,0.07076005348143577,0.0,0.08964236813179724,0.01399349253998379,0.9322493224932249,0.03220482029909004
80,71,0.02178006628618793,0.02178006628618793,0.004808413368041257,9723,158,46,112,0.2911392405063291,0.3247255619445896,-0.033586321438260514,0.8965701337550026,0.01625012856114368,0.04373380679273428,0.07000334222265378,0.0,0.7596153846153846,0.028798829398127106
81,68,-0.30796102268730935,0.30796102268730935,0.0061244698785577,9723,673,218,455,0.32392273402674593,0.32419889502762433,-0.00027616100087840545,0.9991481741452115,0.06921731975727656,0.0,0.08916316631397629,0.0,0.9308437067773168,0.027665657413234693
82,24,-0.056828489796656334,0.056828489796656334,0.008107010424075507,9723,91,26,65,0.2857142857142857,0.32454318936877075,-0.03882890365448505,0.8803582853486884,0.009359251259899209,0.0,0.11802600601918753,0.0,0.6453900709219859,0.025390937465120722
83,13,-0.07898403654929884,0.07898403654929884,0.004881317979399461,9723,779,251,528,0.32220795892169446,0.3243515205724508,-0.0021435616507563537,0.9933912390884644,0.08011930474133498,0.0,0.07106472485927116,0.0,0.9396863691194209,0.022259517758493056
84,18,-0.07898403654929884,0.07898403654929884,0.004791561788059648,9723,779,251,528,0.32220795892169446,0.3243515205724508,-0.0021435616507563537,0.9933912390884644,0.08011930474133498,0.0,0.06975800829851872,0.0,0.9396863691194209,0.021850216511679163
85,64,-0.36838269285138614,0.36838269285138614,0.005559594287060813,9723,161,46,115,0.2857142857142857,0.32482744195774943,-0.03911315624346373,0.8795878943979394,0.01655867530597552,0.0,0.08093941841251648,0.0,0.7630331753554502,0.02058648714757528
86,57,-0.36838269285138614,0.36838269285138614,0.004889170280560886,9723,161,46,115,0.2857142857142857,0.32482744195774943,-0.03911315624346373,0.8795878943979394,0.01655867530597552,0.0,0.07117904267751284,0.0,0.7630331753554502,0.01810399031766124
87,97,-0.10620545960756879,0.10620545960756879,0.0036395698327715037,9723,4505,1392,3113,0.30899001109877916,0.33729398236872365,-0.028303971269944495,0.9160851579053577,0.4633343618224828,0.0,0.052986719952186165,0.0,0.9890230515916575,0.01746836248698124
88,92,-0.1062054596075874,0.1062054596075874,0.002747266290512349,9723,4505,1392,3113,0.30899001109877916,0.33729398236872365,-0.028303971269944495,0.9160851579053577,0.4633343618224828,0.0,0.03999610840235198,0.0,0.9890230515916575,0.013185691061294963
